"drug_name","strength","unit","form","default_route","aliases","category","usual_frequencies","default_dose","max_dose","notes"
"FOLLITROPIN ALFA","900 units/1.44 mL","units","Solution","","Gonal-f 900units/1.44ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN ALFA","900 units/1.5 mL","units","Solution","","Ovaleap 900units/1.5ml solution for injection cartridges","","","","",""
"FOLLITROPIN ALFA WITH LUTROPIN ALFA","","","Powder","","Pergoveris 150unit/75unit powder and solvent for solution for injection vials","","","","",""
"FOLLITROPIN ALFA WITH LUTROPIN ALFA","300 units/150 units","units","Solution","","Pergoveris 300units/150units/0.48ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN ALFA WITH LUTROPIN ALFA","450 units/225 units","units","Solution","","Pergoveris 450units/225units/0.72ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN ALFA WITH LUTROPIN ALFA","900 units/450 units","units","Solution","","Pergoveris 900units/450units/1.44ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN DELTA","0.36 mL","mL","Solution","","Rekovelle 12micrograms/0.36ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN DELTA","1.08 mL","mL","Solution","","Rekovelle 36micrograms/1.08ml solution for injection pre-filled pens","","","","",""
"FOLLITROPIN DELTA","2.16 mL","mL","Solution","","Rekovelle 72micrograms/2.16 ml solution for injection pre-filled pens","","","","",""
"FONDAPARINUX","2.5 mg in 0.5mL","mg","Pre-Filled Syringe","Subcutaneous","","","Each night","2.5","",""
"FONDAPARINUX SODIUM","1.5 mg/0.3 mL","mg","Solution","","Arixtra 1.5mg/0.3ml solution for injection pre-filled syringes","","","","",""
"FONDAPARINUX SODIUM","10 mg/0.8 mL","mg","Solution","","Arixtra 10mg/0.8ml solution for injection pre-filled syringes; Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes","","","","",""
"FONDAPARINUX SODIUM","2.5 mg/0.5 mL","mg","Solution","","Arixtra 2.5mg/0.5ml solution for injection pre-filled syringes; Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes","","","","",""
"FONDAPARINUX SODIUM","5 mg/0.4 mL","mg","Solution","","Arixtra 5mg/0.4ml solution for injection pre-filled syringes; Fondaparinux sodium 5mg/0.4ml solution for injection pre-filled syringes","","","","",""
"FONDAPARINUX SODIUM","7.5 mg/0.6 mL","mg","Solution","","Arixtra 7.5mg/0.6ml solution for injection pre-filled syringes; Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes","","","","",""
"FORCEVAL","","","Capsules","Oral","","","Each morning","1","",""
"FORMALDEHYDE","","","Solution","","Formaldehyde (Buffered) 4% solution","","","","",""
"FORMOTEROL FUMARATE","","","","","Oxis 6 Turbohaler; Oxis 12 Turbohaler","","","","",""
"FORMOTEROL FUMARATE","","","Inhaler","Inhaled","Atimos Modulite 12micrograms/dose inhaler","","","","",""
"FORMOTEROL FUMARATE","","","Powder","","Formoterol Easyhaler 12micrograms/dose dry powder inhaler","","","","",""
"FORMOTEROL FUMARATE WITH GLYCOPYRRONIUM AND BUDESONIDE","","","Inhaler","Inhaled","Trixeo Aerosphere 5micrograms/dose / 7.2micrograms/dose / 160micrograms/dose pressurised inhaler","","","","",""
"FOSAPREPITANT","150 mg","mg","Powder","","Fosaprepitant 150mg powder for solution for infusion vials; Ivemend 150mg powder for solution for infusion vials","","","","",""
"FOSCARNET SODIUM","6 g/250 mL","g","Solution","","Foscarnet sodium 6g/250ml solution for infusion bottles; Foscavir 6g/250ml solution for infusion bottles","","","","",""
"FOSFOMYCIN","2 g","g","Powder","","Fomicyt 2g powder for solution for infusion vials","","","","",""
"FOSFOMYCIN","3 g","g","Oral Solution","Oral","Fosfomycin 3g granules for oral solution sachets; Monuril 3g granules for oral solution sachets","","","","",""
"FOSFOMYCIN","4 g","g","Powder","","Fomicyt 4g powder for solution for infusion vials","","","","",""
"FOSFOMYCIN","5 g","g","Powder","","Infectofos 5g powder for solution for infusion vials","","","","",""
"FOSINOPRIL SODIUM","10 mg","mg","Tablets","Oral","Fosinopril 10mg tablets","","","","",""
"FOSINOPRIL SODIUM","20 mg","mg","Tablets","Oral","Fosinopril 20mg tablets","","","","",""
"FOSLEVODOPA WITH FOSCARBIDOPA","2.4 g/10 mL","g","Solution","","Produodopa 2.4g/10ml / 120mg/10ml solution for infusion vials","","","","",""
"FOSPHENYTOIN SODIUM","750 mg/10 mL","mg","Solution","","Pro-Epanutin 750mg/10ml concentrate for solution for injection vials","","","","",""
"FOSTAIR","100/6 micrograms","micrograms","Inhaler","Inhaled","","","Twice daily","2","",""
"FOSTAIR","200/6 micrograms","micrograms","Inhaler","Inhaled","","","Twice daily","2","",""
"FOSTAMATINIB","100 mg","mg","Tablets","Oral","Tavlesse 100mg tablets","","","","",""
"FOSTAMATINIB","150 mg","mg","Tablets","Oral","Tavlesse 150mg tablets","","","","",""
"FOSTEMSAVIR","600 mg","mg","Tablets","Oral","Rukobia 600mg modified-release tablets","","","","",""
"FREMANEZUMAB","225 mg/1.5 mL","mg","Solution","","Ajovy 225mg/1.5ml solution for injection pre-filled pens; Ajovy 225mg/1.5ml solution for injection pre-filled syringes","","","","",""
"FRESH FROZEN PLASMA","200 mL","mL","","","OctaplasLG Blood Group A infusion 200ml bags; OctaplasLG Blood Group AB infusion 200ml bags; OctaplasLG Blood Group B infusion 200ml bags; OctaplasLG Blood Group O infusion 200ml bags","","","","",""
"FROVATRIPTAN","2.5 mg","mg","Tablets","Oral","Frovatriptan 2.5mg tablets; Migard 2.5mg tablets; Mylatrip 2.5mg tablets","","","","",""
"FRUQUINTINIB SPECIALIST DRUG","1 mg","mg","Capsules","Oral","Fruzaqla 1mg capsules","","","","",""
"FRUQUINTINIB SPECIALIST DRUG","5 mg","mg","Capsules","Oral","Fruzaqla 5mg capsules","","","","",""
"FULVESTRANT","250 mg/5 mL","mg","Solution","","Faslodex 250mg/5ml solution for injection pre-filled syringes; Fulvestrant 250mg/5ml solution for injection pre-filled syringes","","","","",""
"FUROSEMIDE","20 mg","mg","Tablets","Oral","Furosemide 20mg tablets","","Each morning","20","",""
"FUROSEMIDE","20 mg in 2mL","mg","Injection","Intravenous Infusion","","","","40","",""
"FUROSEMIDE","20 mg/2 mL","mg","Solution","","Furosemide 20mg/2ml solution for injection ampoules","","","","",""
"FUROSEMIDE","20 mg/5 mL","mg","Oral Solution","Oral","Frusol 20mg/5ml oral solution; Furosemide 20mg/5ml oral solution sugar free","","","","",""
"FUROSEMIDE","250 mg/25 mL","mg","Solution","","Furosemide 250mg/25ml solution for injection ampoules","","","","",""
"FUROSEMIDE","40 mg","mg","Tablets","Oral","Furosemide 40mg tablets","","Each morning","40","",""
"FUROSEMIDE","40 mg/4 mL","mg","Solution","","Furosemide 40mg/4ml solution for injection ampoules","","","","",""
"FUROSEMIDE","40 mg/5 mL","mg","Oral Solution","Oral","Frusol 40mg/5ml oral solution; Furosemide 40mg/5ml oral solution sugar free","","","","",""
"FUROSEMIDE","50 mg/5 mL","mg","Oral Solution","Oral","Frusol 50mg/5ml oral solution; Furosemide 50mg/5ml oral solution sugar free","","","","",""
"FUROSEMIDE","50 mg/5 mL","mg","Solution","","Furosemide 50mg/5ml solution for injection ampoules","","","","",""
"FUROSEMIDE","500 mg","mg","Tablets","Oral","Furosemide 500mg tablets","","","","",""
"FUSIDIC ACID","","","Cream","Topical","Fusidic acid 2% cream","","","","",""
"FUSIDIC ACID","","","Drops","Ophthalmic/Otic","Fusidic acid 1% modified-release eye drops","","","","",""
"FUSIDIC ACID","20 mg","mg","Cream","Topical","Fucidin 20mg/g cream","","","","",""
"FUSIDIC ACID","20 mg","mg","Ointment","Topical","Fucidin 20mg/g ointment","","","","",""
"FUSIDIC ACID","250 mg","mg","Tablets","Oral","Sodium fusidate 250mg tablets","","","","",""
"FUSIDIC ACID","250 mg/5 mL","mg","Oral Suspension","Oral","Fucidin 250mg/5ml oral suspension","","","","",""
"FUSIDIC ACID","500 mg","mg","Powder","","Sodium fusidate 500mg powder and solvent for solution for infusion vials","","","","",""
"FUTIBATINIB SPECIALIST DRUG","4 mg","mg","Tablets","Oral","Lytgobi 4mg tablets","","","","",""
"GABAPENTIN","100 mg","mg","Capsules","Oral","Gabapentin 100mg capsules; Neurontin 100mg capsules","","Three times daily","100","",""
"GABAPENTIN","250 mg/5 mL","mg","Oral Solution","Oral","Neurontin 250mg/5ml oral solution","","","","",""
"GABAPENTIN","300 mg","mg","Capsules","Oral","Gabapentin 300mg capsules; Neurontin 300mg capsules","","Three times daily","300","",""
"GABAPENTIN","400 mg","mg","Capsules","Oral","Gabapentin 400mg capsules; Neurontin 400mg capsules","","","","",""
"GABAPENTIN","50 mg","mg","Oral Solution","Oral","Gabapentin 50mg/ml oral solution sugar free","","","","",""
"GABAPENTIN","600 mg","mg","Tablets","Oral","Gabapentin 600mg tablets; Neurontin 600mg tablets","","","","",""
"GABAPENTIN","800 mg","mg","Tablets","Oral","Gabapentin 800mg tablets; Neurontin 800mg tablets","","","","",""
"GALANTAMINE","16 mg","mg","Capsules","Oral","Gaalin 16mg modified-release capsules; Galantamine 16mg modified-release capsules","","","","",""
"GALANTAMINE","16 mg","mg","Modified Release Capsules","Oral","Gatalin XL 16mg capsules; Gazylan XL 16mg capsules; Lotprosin XL 16mg capsules; Luventa XL 16mg capsules","","","","",""
"GALANTAMINE","20 mg/5 mL","mg","Oral Solution","Oral","Galantamine 20mg/5ml oral solution sugar free","","","","",""
"GALANTAMINE","24 mg","mg","Capsules","Oral","Gaalin 24mg modified-release capsules; Galantamine 24mg modified-release capsules","","","","",""
"GALANTAMINE","24 mg","mg","Modified Release Capsules","Oral","Gatalin XL 24mg capsules; Gazylan XL 24mg capsules; Lotprosin XL 24mg capsules; Luventa XL 24mg capsules","","","","",""
"GALANTAMINE","8 mg","mg","Capsules","Oral","Gaalin 8mg modified-release capsules; Galantamine 8mg modified-release capsules","","","","",""
"GALANTAMINE","8 mg","mg","Modified Release Capsules","Oral","Gatalin XL 8mg capsules; Gazylan XL 8mg capsules; Lotprosin XL 8mg capsules; Luventa XL 8mg capsules","","","","",""
"GALCANEZUMAB","120 mg/1 mL","mg","Solution","","Emgality 120mg/1ml solution for injection pre-filled pens","","","","",""
"GALSULFASE","5 mg/5 mL","mg","Solution","","Naglazyme 5mg/5ml solution for infusion vials","","","","",""
"GANCICLOVIR","","","Gel","Topical","Virgan 0.15% eye gel","","","","",""
"GANCICLOVIR","500 mg","mg","Powder","","Cymevene 500mg powder for concentrate for solution for infusion vials; Ganciclovir 500mg powder for concentrate for solution for infusion vials","","","","",""
"GANIRELIX","0.5 mL","mL","Solution","","Fyremadel 250micrograms/0.5ml solution for injection pre-filled syringes; Ganirelix 250micrograms/0.5ml solution for injection pre-filled syringes; Ovamex 250micrograms/0.5ml solution for injection pre-filled syringes","","","","",""
"GARADACIMAB","200 mg/1.2 mL","mg","Solution","","Andembry 200mg/1.2ml solution for injection pre-filled pens","","","","",""
"GAVISCON Advance","","","Oral Suspension","Oral","","","Four times daily","10","",""
"GEFAPIXANT","45 mg","mg","Tablets","Oral","Lyfnua 45mg tablets","","","","",""
"GEFITINIB SPECIALIST DRUG","250 mg","mg","Tablets","Oral","Gefitinib 250mg tablets; Iressa 250mg tablets","","","","",""
"GELATIN","","","Gel","Topical","Gelofusine 4% infusion 1litre Ecobags","","","","",""
"GELATIN","500 mL","mL","Gel","Topical","Gelofusine 4% infusion 500ml Ecobags; Geloplasma 3% infusion 500ml Freeflex bags; Gelaspan 4% infusion 500ml Ecobags","","","","",""
"GEMCITABINE SPECIALIST DRUG","1 g","g","Powder","","Gemcitabine 1g powder for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","1 g/10 mL","g","Solution","","Gemcitabine 1g/10ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","1 g/26.3 mL","g","Solution","","Gemcitabine 1g/26.3ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","2 g/20 mL","g","Solution","","Gemcitabine 2g/20ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","2 g/52.6 mL","g","Solution","","Gemcitabine 2g/52.6ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","200 mg","mg","Powder","","Gemcitabine 200mg powder for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","200 mg/2 mL","mg","Solution","","Gemcitabine 200mg/2ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","200 mg/5.26 mL","mg","Solution","","Gemcitabine 200mg/5.26ml concentrate for solution for infusion vials","","","","",""
"GEMCITABINE SPECIALIST DRUG","200 mg/5.3 mL","mg","Solution","","Gemcitabine 200mg/5.3ml concentrate for solution for infusion vials","","","","",""
"GEMFIBROZIL","300 mg","mg","Capsules","Oral","Lopid 300mg capsules","","","","",""
"GEMFIBROZIL","600 mg","mg","Tablets","Oral","Gemfibrozil 600mg tablets; Lopid 600mg tablets","","","","",""
"GEMTUZUMAB OZOGAMICIN SPECIALIST DRUG","5 mg","mg","Powder","","Mylotarg 5mg powder for concentrate for solution for infusion vials","","","","",""
"GENTAMICIN","","","Drops","Ophthalmic/Otic","Gentamicin 0.3% ear/eye drops","","","","",""
"GENTAMICIN","20 mg/2 mL","mg","Solution","","Gentamicin 20mg/2ml solution for injection ampoules; Gentamicin Paediatric 20mg/2ml solution for injection vials","","","","",""
"GENTAMICIN","240 mg/80 mL","mg","","","Gentamicin 240mg/80ml infusion polyethylene bottles","","","","",""
"GENTAMICIN","360 mg/120 mL","mg","","","Gentamicin 360mg/120ml infusion polyethylene bottles","","","","",""
"GENTAMICIN","5 mg/1 mL","mg","Solution","","Gentamicin Intrathecal 5mg/1ml solution for injection ampoules","","","","",""
"GENTAMICIN","80 mg/2 mL","mg","Solution","","Cidomycin 80mg/2ml solution for injection ampoules; Cidomycin 80mg/2ml solution for injection vials; Gentamicin 80mg/2ml solution for injection ampoules","","","","",""
"GENTAMICIN","80 mg/80 mL","mg","","","Gentamicin 80mg/80ml infusion polyethylene bottles","","","","",""
"GENTAMICIN","80mg in 2ml","","Injection","Intravenous Injection","","","","","450",""
"GENTAMICIN WITH HYDROCORTISONE","","","Drops","Ophthalmic/Otic","Gentamicin 0.3% / Hydrocortisone acetate 1% ear drops","","","","",""
"GILTERITINIB SPECIALIST DRUG","40 mg","mg","Tablets","Oral","Xospata 40mg tablets","","","","",""
"GIVINOSTAT","8.86 mg","mg","Oral Suspension","Oral","Duvyzat 8.86mg/ml oral suspension","","","","",""
"GIVOSIRAN","189 mg/1 mL","mg","Solution","","Givlaari 189mg/1ml solution for injection vials","","","","",""
"GLASDEGIB SPECIALIST DRUG","100 mg","mg","Tablets","Oral","Daurismo 100mg tablets","","","","",""
"GLASDEGIB SPECIALIST DRUG","25 mg","mg","Tablets","Oral","Daurismo 25mg tablets","","","","",""
"GLATIRAMER ACETATE","20 mg/1 mL","mg","Solution","","Brabio 20mg/1ml solution for injection pre-filled syringes; Copaxone 20mg/1ml solution for injection pre-filled syringes","","","","",""
"GLATIRAMER ACETATE","40 mg/1 mL","mg","Solution","","Brabio 40mg/1ml solution for injection pre-filled syringes; Copaxone 40mg/1ml solution for injection pre-filled syringes","","","","",""
"GLECAPREVIR WITH PIBRENTASVIR","100 mg","mg","Tablets","Oral","Glecaprevir 100mg / Pibrentasvir 40mg tablets","","","","",""
"GLICLAZIDE","160 mg","mg","Tablets","Oral","Glydex 160mg tablets","","","","",""
"GLICLAZIDE","30 mg","mg","Modified Release Tablets","Oral","Diamicron 30mg MR tablets; Edicil MR 30mg tablets","","","","",""
"GLICLAZIDE","30 mg","mg","Tablets","Oral","Gliclazide 30mg modified-release tablets; Lamzarin 30mg modified-release tablets; Xywin 30mg modified-release tablets; Ziclaseg 30mg modified-release tablets; Zicron PR 30mg tablets","","","","",""
"GLICLAZIDE","40 mg","mg","Tablets","Oral","Gliclazide 40mg tablets; Zicron 40mg tablets","","Each morning","40","",""
"GLICLAZIDE","60 mg","mg","Tablets","Oral","Gliclazide 60mg modified-release tablets; Lamzarin 60mg modified-release tablets","","","","",""
"GLICLAZIDE","80 mg","mg","Tablets","Oral","Gliclazide 80mg tablets","","","","",""
"GLIMEPIRIDE","1 mg","mg","Tablets","Oral","Glimepiride 1mg tablets","","","","",""
"GLIMEPIRIDE","2 mg","mg","Tablets","Oral","Glimepiride 2mg tablets","","","","",""
"GLIMEPIRIDE","3 mg","mg","Tablets","Oral","Glimepiride 3mg tablets","","","","",""
"GLIMEPIRIDE","4 mg","mg","Tablets","Oral","Glimepiride 4mg tablets","","","","",""
"GLIPIZIDE","5 mg","mg","Tablets","Oral","Minodiab 5mg tablets","","","","",""
"GLOFITAMAB SPECIALIST DRUG","10 mg/10 mL","mg","Solution","","Columvi 10mg/10ml concentrate for solution for infusion vials","","","","",""
"GLOFITAMAB SPECIALIST DRUG","2.5 mg/2.5 mL","mg","Solution","","Columvi 2.5mg/2.5ml concentrate for solution for infusion vials","","","","",""
"GLUCAGON","1 mg","mg","Powder","","GlucaGen Hypokit 1mg powder and solvent for solution for injection","","","","",""
"GLUCARPIDASE","","","Powder","","Voraxaze 1,000unit powder for solution for injection vials","","","","",""
"GLUCOSAMINE","1 g","g","Tablets","Oral","Glucosamine sulfate 1g tablets","","","","",""
"GLUCOSAMINE","1.5 g","g","Tablets","Oral","Glucosamine hydrochloride 1.5g tablets; Glucosamine sulfate 1.5g tablets","","","","",""
"GLUCOSAMINE","1000 mg","mg","Tablets","Oral","FSC Glucosamine sulfate 1000mg tablets; Solgar Glucosamine hydrochloride 1000mg tablets","","","","",""
"GLUCOSAMINE","1500 mg","mg","Tablets","Oral","HealthAid Glucosamine sulfate 1500mg tablets; Nature's Best Glucosamine sulfate 1500mg tablets; Natures Aid Glucosamine sulfate 1500mg tablets; Quest Glucosamine sulfate 1500mg tablets","","","","",""
"GLUCOSAMINE","500 mg","mg","Tablets","Oral","Boots Glucosamine sulfate 500mg tablets; FSC Glucosamine sulfate 500mg tablets; Glucosamine sulfate 500mg tablets; Gosa-S 500mg tablets; HealthAid Glucosamine sulfate 500mg tablets; Valupak Glucosamine sulfate 500mg tablets","","","","",""
"GLUCOSAMINE","600 mg","mg","Tablets","Oral","Superdrug High Strength Glucosamine sulfate 600mg tablets; Tesco Glucosamine sulfate 600mg tablets","","","","",""
"GLUCOSAMINE","700 mg","mg","Tablets","Oral","Ultra Glucosamine sulfate 700mg tablets","","","","",""
"GLUCOSAMINE","750 mg","mg","Caplets","Oral","Premier Glucosamine sulfate 750mg caplets","","","","",""
"GLUCOSAMINE","750 mg","mg","Tablets","Oral","Glucosamine hydrochloride 750mg tablets; Glucosamine sulfate 750mg tablets; Gosa-S 750mg tablets; Gosaveg 750mg tablets","","","","",""
"GLUCOSAMINE","800 mg","mg","Tablets","Oral","Higher Nature Vegetarian Glucosamine hydrochloride 800mg tablets","","","","",""
"GLUCOSE","","","","","Lift Fast Acting Glucose Shot liquid; Lift Fast Acting Glucose Shot liquid fruity tropical; Lift Fast Acting Glucose Shot liquid strawberry & lime; Lift Fast Acting Glucose Shot liquid very berry; Lift Fast Acting Glucose Shot liquid zesty lemon & lime; Glucose 5% infusion 1litre Cosinus bags; Glucose 5% infusion 1litre Freeflex bags; Glucose 5% infusion 1litre KabiPac polyethylene bottles; Glucose 5% infusion 1litre Viaflo bags; Glucose 5% infusion 1litre polyethylene bottles; Glucose 10% infusion 1litre Cosinus bags; Glucose 10% infusion 1litre Viaflo bags","","","","",""
"GLUCOSE","","","Gel","Topical","AACE Gluco 40% gel; AddGluco 40% gel; Dextrogel 40% gel; GlucoBoost 40% gel; GlucoGel 40% gel original; Rapilose 40% gel; YourGLUCO 40% gel","","","","",""
"GLUCOSE","","","Solution","","Rapilose OGTT solution","","","","",""
"GLUCOSE","100 mL","mL","","","Glucose 5% infusion 100ml Cosinus bags; Glucose 5% infusion 100ml Easyflex N bags; Glucose 5% infusion 100ml Freeflex Plus bags; Glucose 5% infusion 100ml Freeflex bags; Glucose 5% infusion 100ml KabiPac polyethylene bottles; Glucose 5% infusion 100ml Viaflo bags; Glucose 5% infusion 100ml polyethylene bottles","","","","",""
"GLUCOSE","100 mL","mL","Solution","","Glucose 20% solution for infusion 100ml vials","","","","",""
"GLUCOSE","20 mL","mL","Solution","","Glucose 50% solution for infusion 20ml ampoules","","","","",""
"GLUCOSE","250 mL","mL","","","Glucose 5% infusion 250ml Cosinus bags; Glucose 5% infusion 250ml Easyflex N bags; Glucose 5% infusion 250ml Freeflex Plus bags; Glucose 5% infusion 250ml Freeflex bags; Glucose 5% infusion 250ml KabiPac polyethylene bottles; Glucose 5% infusion 250ml Viaflo bags; Glucose 5% infusion 250ml polyethylene bottles","","","","",""
"GLUCOSE","31 g","g","","","Steriflex No.31 glucose 20% infusion 500ml bags","","","","",""
"GLUCOSE","33 g","g","","","Steriflex No.33 glucose 40% infusion 500ml bags","","","","",""
"GLUCOSE","34 g","g","","","Steriflex No.34 glucose 50% infusion 500ml bags","","","","",""
"GLUCOSE","50 mL","mL","","","Glucose 5% infusion 50ml Cosinus bags; Glucose 5% infusion 50ml KabiPac polyethylene bottles; Glucose 5% infusion 50ml Viaflo bags; Glucose 5% infusion 50ml polyethylene bottles","","","","",""
"GLUCOSE","50 mL","mL","Solution","","Glucose 50% solution for infusion 50ml vials","","","","",""
"GLUCOSE","500 mL","mL","","","Glucose 5% infusion 500ml Cosinus bags; Glucose 5% infusion 500ml Easyflex N bags; Glucose 5% infusion 500ml Freeflex Plus bags; Glucose 5% infusion 500ml Freeflex bags; Glucose 5% infusion 500ml KabiPac polyethylene bottles; Glucose 5% infusion 500ml Viaflo bags; Glucose 5% infusion 500ml polyethylene bottles; Glucose 10% infusion 500ml Cosinus bags; Glucose 10% infusion 500ml Viaflo bags; Glucose 30% infusion 500ml polyethylene bottles","","","","",""
"GLUCOSE","500 mL","mL","Solution","","Glucose 70% concentrate for solution for infusion 500ml Viaflex bags","","","","",""
"GLUCOSE","7 g","g","","","Steriflex No.7 glucose 10% infusion 500ml bags","","","","",""
"GLYCEROL","1 g","g","","","Glycerol 1g suppositories","","","","",""
"GLYCEROL","2 g","g","","","Glycerol 2g suppositories","","","","",""
"GLYCEROL","4 g","g","","","Glycerol 4g suppositories","","","","",""
"GLYCEROL","4 g","g","Suppositories","Rectal","","","Each night","4","",""
"GLYCEROL PHENYLBUTYRATE","1.1 g","g","","","Ravicti 1.1g/ml oral liquid","","","","",""
"GLYCEROL WITH MAGNESIUM SULFATE AND PHENOL","","","","","Magnesium sulfate paste","","","","",""
"GLYCERYL TRINITRATE","","","Ointment","Topical","Rectogesic 0.4% rectal ointment","","","","",""
"GLYCERYL TRINITRATE","","","Patch","Transdermal","Deponit 5 transdermal patches; Minitran 5 transdermal patches; Deponit 10 transdermal patches; Minitran 10 transdermal patches","","","","",""
"GLYCERYL TRINITRATE","","","Spray","","Glyceryl trinitrate 400micrograms/dose pump sublingual spray; Nitrolingual 400micrograms/dose pump sublingual spray","","","","",""
"GLYCERYL TRINITRATE","","","Tablets","Oral","Glyceryl trinitrate 500microgram sublingual tablets; Glyceryl trinitrate 600microgram sublingual tablets","","","","",""
"GLYCERYL TRINITRATE","10 mg/10 mL","mg","Solution","","Glyceryl trinitrate 10mg/10ml solution for infusion ampoules","","","","",""
"GLYCERYL TRINITRATE","25 mg/5 mL","mg","Solution","","Glyceryl trinitrate 25mg/5ml solution for infusion ampoules","","","","",""
"GLYCERYL TRINITRATE","400 micrograms","micrograms","Sublingual Spray","Sublingual","","","","1","",""
"GLYCERYL TRINITRATE","50 mg/10 mL","mg","Solution","","Glyceryl trinitrate 50mg/10ml solution for infusion ampoules","","","","",""
"GLYCERYL TRINITRATE","50 mg/50 mL","mg","Solution","","Glyceryl trinitrate 50mg/50ml solution for infusion vials; Nitronal 50mg/50ml solution for infusion vials","","","","",""
"GLYCINE","","","Solution","","Glycine 1.5% irrigation solution 1litre Easyflow bags; Glycine 1.5% irrigation solution 1litre Flowfusor bottles; Glycine 1.5% irrigation solution 2litre Flowfusor bottles; Glycine 1.5% irrigation solution 3litre Easyflow bags","","","","",""
"GLYCOPYRRONIUM","200 micrograms in 1mL","micrograms","Injection","Subcutaneous","","","Four hourly","200","",""
"GLYCOPYRRONIUM BROMIDE","","","Powder","","Seebri Breezhaler 44microgram inhalation powder capsules with device","","","","",""
"GLYCOPYRRONIUM BROMIDE","1 mL","mL","Solution","","Glycopyrronium bromide 200micrograms/1ml solution for injection ampoules","","","","",""
"GLYCOPYRRONIUM BROMIDE","3 mL","mL","Solution","","Glycopyrronium bromide 600micrograms/3ml solution for injection ampoules","","","","",""
"GLYCOPYRRONIUM WITH FORMOTEROL FUMARATE","","","Inhaler","Inhaled","Bevespi Aerosphere 7.2micrograms/dose / 5micrograms/dose pressurised inhaler","","","","",""
"GLYCOPYRRONIUM WITH INDACATEROL","","","Powder","","Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device","","","","",""
"GOLIMUMAB","100 mg/1 mL","mg","Solution","","Gobivaz 100mg/1ml solution for injection pre-filled pens; Simponi 100mg/1ml solution for injection pre-filled pens","","","","",""
"GOLIMUMAB","50 mg/0.5 mL","mg","Solution","","Gobivaz 50mg/0.5ml solution for injection pre-filled pens; Gobivaz 50mg/0.5ml solution for injection pre-filled syringes; Simponi 50mg/0.5ml solution for injection pre-filled pens; Simponi 50mg/0.5ml solution for injection pre-filled syringes","","","","",""
"GONADORELIN","","","Powder","","Gonadorelin 100microgram powder for solution for injection vials","","","","",""
"GOSERELIN","10.8 mg","mg","","","Zoladex LA 10.8mg implant SafeSystem pre-filled syringes","","","","",""
"GOSERELIN","3.6 mg","mg","","","Zoladex 3.6mg implant SafeSystem pre-filled syringes","","","","",""
"GRANISETRON","1 mg","mg","Tablets","Oral","Granisetron 1mg tablets; Kytril 1mg tablets","","","","",""
"GRANISETRON","1 mg/1 mL","mg","Solution","","Granisetron 1mg/1ml concentrate for solution for injection ampoules","","","","",""
"GRANISETRON","3 mg/3 mL","mg","Solution","","Granisetron 3mg/3ml concentrate for solution for injection ampoules","","","","",""
"GRANISETRON","3.1 mg","mg","Patch","Transdermal","Sancuso 3.1mg/24hours transdermal patches","","","","",""
"GRASS POLLEN EXTRACTS","","","","","Grazax 75,000 SQ-T oral lyophilisates","","","","",""
"GRASS POLLEN EXTRACTS","","","Oral Suspension","Oral","Pollinex Grasses + Rye suspension for injection treatment and extension course vials","","","","",""
"GRISEOFULVIN","125 mg","mg","Tablets","Oral","Griseofulvin 125mg tablets","","","","",""
"GRISEOFULVIN","500 mg","mg","Tablets","Oral","Griseofulvin 500mg tablets","","","","",""
"GUANFACINE","1 mg","mg","Tablets","Oral","Guanfacine 1mg modified-release tablets; Intuniv 1mg modified-release tablets","","","","",""
"GUANFACINE","2 mg","mg","Tablets","Oral","Guanfacine 2mg modified-release tablets; Intuniv 2mg modified-release tablets","","","","",""
"GUANFACINE","3 mg","mg","Tablets","Oral","Guanfacine 3mg modified-release tablets; Intuniv 3mg modified-release tablets","","","","",""
"GUANFACINE","4 mg","mg","Tablets","Oral","Guanfacine 4mg modified-release tablets; Intuniv 4mg modified-release tablets","","","","",""
"GUANFACINE","5 mg","mg","Tablets","Oral","Guanfacine 5mg modified-release tablets","","","","",""
"GUANFACINE","6 mg","mg","Tablets","Oral","Guanfacine 6mg modified-release tablets","","","","",""
"GUANFACINE","7 mg","mg","Tablets","Oral","Guanfacine 7mg modified-release tablets","","","","",""
"GUSELKUMAB","100 mg/1 mL","mg","Solution","","Tremfya 100mg/1ml solution for injection pre-filled pens","","","","",""
